Apple PE Ratio Historical Data,Apple PE Ratio Historical Data,Apple PE Ratio Historical Data,Apple PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,214.1,,33.98
2024-12-31,250.42,$6.30,39.75
2024-09-30,232.74,$6.08,38.28
2024-06-30,210.15,$6.57,31.99
2024-03-31,170.86,$6.43,26.57
2023-12-31,191.59,$6.42,29.84
2023-09-30,170.16,$6.12,27.8
2023-06-30,192.52,$5.95,32.36
2023-03-31,163.44,$5.89,27.75
2022-12-31,128.58,$5.89,21.83
2022-09-30,136.54,$6.11,22.35
2022-06-30,134.89,$6.06,22.26
2022-03-31,172.02,$6.16,27.93
2021-12-31,174.71,$6.04,28.93
2021-09-30,139.02,$5.62,24.74
2021-06-30,134.36,$5.11,26.29
2021-03-31,119.63,$4.46,26.85
2020-12-31,129.76,$3.69,35.14
2020-09-30,113.05,$3.26,34.68
2020-06-30,88.87,$3.29,27.03
2020-03-31,61.78,$3.19,19.38
2019-12-31,71.17,$3.17,22.49
2019-09-30,54.12,$2.96,18.27
2019-06-30,47.65,$2.93,16.25
2019-03-31,45.55,$2.97,15.32
2018-12-31,37.66,$3.04,12.39
2018-09-30,53.71,$2.97,18.1
2018-06-30,43.89,$2.76,15.92
2018-03-31,39.63,$2.59,15.3
2017-12-31,39.81,$2.43,16.37
2017-09-30,36.13,$2.30,15.71
2017-06-30,33.62,$2.20,15.28
2017-03-31,33.4,$2.14,15.63
2016-12-31,26.81,$2.09,12.84
2016-09-30,26.04,$2.07,12.59
2016-06-30,21.9,$2.14,10.23
2016-03-31,24.82,$2.25,11.04
2015-12-31,23.84,$2.36,10.12
2015-09-30,24.79,$2.30,10.78
2015-06-30,28.16,$2.17,13.0
2015-03-31,27.82,$2.02,13.75
2014-12-31,24.58,$1.86,13.25
2014-09-30,22.34,$1.61,13.89
2014-06-30,20.5,$1.55,13.25
2014-03-31,16.82,$1.49,11.26
2013-12-31,17.48,$1.44,12.14
2013-09-30,14.77,$1.42,10.43
2013-06-30,12.2,$1.43,8.53
2013-03-31,13.53,$1.50,9.04
2012-12-31,16.18,$1.58,10.27
2012-09-30,20.18,$1.58,12.8
2012-06-30,17.59,$1.52,11.58
2012-03-31,18.06,$1.46,12.33
2011-12-31,12.2,$1.25,9.73
2011-09-30,11.49,$0.99,11.62
2011-06-30,10.11,$0.90,11.21
2011-03-31,10.5,$0.75,14.01
2010-12-31,9.72,$0.64,15.19
2010-09-30,8.55,$0.54,15.8
2010-06-30,7.58,$0.44,17.21
2010-03-31,7.08,$0.36,19.49
2009-12-31,6.35,$0.31,20.52
