Alta Equipment Group Price to Free Cash Flow Ratio Historical Data,Alta Equipment Group Price to Free Cash Flow Ratio Historical Data,Alta Equipment Group Price to Free Cash Flow Ratio Historical Data,Alta Equipment Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.33,,3.01
2024-12-31,6.54,$1.77,3.69
2024-09-30,6.69,$3.07,2.18
2024-06-30,7.9,$1.99,3.98
2024-03-31,12.64,$1.80,7.01
2023-12-31,12.02,$1.58,7.61
2023-09-30,11.66,$-0.76,0.0
2023-06-30,16.68,$-0.74,0.0
2023-03-31,15.2,$-0.01,0.0
2022-12-31,12.61,$0.45,28.28
2022-09-30,10.48,$1.15,9.14
2022-06-30,8.5,$0.52,16.22
2022-03-31,11.71,$0.53,22.0
2021-12-31,13.87,$0.79,17.67
2021-09-30,13.01,$1.26,10.33
2021-06-30,12.59,$0.75,16.72
2021-03-31,12.32,$2.96,4.16
2020-12-31,9.36,$-1.43,0.0
2020-09-30,7.42,$-2.95,0.0
2020-06-30,7.36,$-1.83,0.0
2020-03-31,4.05,$-5.51,0.0
