Lindsay Price to Free Cash Flow Ratio Historical Data,Lindsay Price to Free Cash Flow Ratio Historical Data,Lindsay Price to Free Cash Flow Ratio Historical Data,Lindsay Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,127.9,,21.85
2024-11-30,132.77,$5.85,22.68
2024-08-31,123.69,$6.06,20.4
2024-05-31,114.15,$6.71,17.02
2024-02-29,118.26,$8.46,13.97
2023-11-30,117.93,$10.39,11.35
2023-08-31,122.32,$9.12,13.41
2023-05-31,115.78,$6.39,18.13
2023-02-28,147.48,$2.81,52.55
2022-11-30,172.59,$1.41,122.15
2022-08-31,156.5,$-1.14,0.0
2022-05-31,122.71,$-2.52,0.0
2022-02-28,127.46,$-1.80,0.0
2021-11-30,141.0,$-1.78,0.0
2021-08-31,159.3,$1.59,100.24
2021-05-31,158.88,$2.30,69.16
2021-02-28,154.34,$2.10,73.56
2020-11-30,111.33,$3.42,32.58
2020-08-31,95.79,$2.26,42.31
2020-05-31,89.76,$2.59,34.64
2020-02-29,94.29,$2.65,35.52
2019-11-30,85.66,$-0.20,0.0
2019-08-31,83.51,$-1.80,0.0
2019-05-31,74.84,$-1.68,0.0
2019-02-28,86.84,$-1.39,0.0
2018-11-30,94.67,$0.92,102.93
2018-08-31,89.34,$2.12,42.06
2018-05-31,91.5,$1.27,71.93
2018-02-28,81.96,$0.98,83.3
2017-11-30,86.68,$1.58,54.77
2017-08-31,79.7,$2.86,27.87
2017-05-31,78.34,$2.73,28.69
2017-02-28,73.22,$3.71,19.72
2016-11-30,76.77,$2.27,33.79
2016-08-31,65.31,$1.98,33.0
2016-05-31,64.48,$1.76,36.56
2016-02-29,65.18,$1.00,65.17
2015-11-30,62.56,$3.04,20.56
2015-08-31,68.08,$2.87,23.7
2015-05-31,71.69,$3.31,21.69
2015-02-28,77.68,$4.41,17.62
2014-11-30,77.75,$5.64,13.78
2014-08-31,68.56,$5.75,11.92
2014-05-31,74.04,$5.57,13.29
2014-02-28,74.31,$4.07,18.27
2013-11-30,66.71,$3.00,22.27
2013-08-31,66.28,$3.59,18.44
2013-05-31,70.71,$4.42,15.99
2013-02-28,74.26,$4.93,15.06
2012-11-30,68.64,$3.93,17.49
2012-08-31,56.63,$3.33,17.0
2012-05-31,48.14,$2.36,20.37
2012-02-29,56.65,$2.79,20.31
2011-11-30,48.72,$2.96,16.47
2011-08-31,53.57,$2.74,19.58
2011-05-31,57.68,$2.39,24.14
2011-02-28,60.63,$0.68,88.79
2010-11-30,50.63,$0.89,57.02
2010-08-31,31.57,$1.48,21.3
2010-05-31,29.18,$3.22,9.06
2010-02-28,31.37,$5.12,6.13
2009-11-30,29.84,$4.43,6.74
